<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.15	14:00:00	1.20920	1.21253	1.20883	1.21127	5538	0	0
2022.06.15	15:00:00	1.21125	1.21188	1.20581	1.20635	7619	0	0
2022.06.15	16:00:00	1.20632	1.20772	1.20571	1.20762	6846	0	0
2022.06.15	17:00:00	1.20765	1.20970	1.20640	1.20690	5968	0	0
2022.06.15	18:00:00	1.20690	1.20714	1.20460	1.20572	5241	0	0
2022.06.15	19:00:00	1.20574	1.20738	1.20476	1.20644	4080	0	0
2022.06.15	20:00:00	1.20642	1.21052	1.20631	1.21002	4057	0	0
2022.06.15	21:00:00	1.21003	1.21636	1.20282	1.21236	11601	0	0
2022.06.15	22:00:00	1.21232	1.22049	1.21150	1.21881	10097	0	0
2022.06.15	23:00:00	1.21878	1.21978	1.21702	1.21731	3161	0	0
2022.06.16	00:00:00	1.21793	1.21833	1.21690	1.21708	343	0	12
2022.06.16	01:00:00	1.21702	1.21754	1.21585	1.21628	2162	0	0
2022.06.16	02:00:00	1.21617	1.21755	1.21583	1.21747	2632	0	0
2022.06.16	03:00:00	1.21746	1.21898	1.21746	1.21784	4316	0	0
2022.06.16	04:00:00	1.21783	1.21861	1.21417	1.21440	4337	0	0
2022.06.16	05:00:00	1.21436	1.21657	1.21425	1.21618	3716	0	0
2022.06.16	06:00:00	1.21624	1.21715	1.21541	1.21574	4115	0	0
2022.06.16	07:00:00	1.21573	1.21589	1.21424	1.21468	2340	0	0
2022.06.16	08:00:00	1.21469	1.21552	1.21331	1.21404	3506	0	0
2022.06.16	09:00:00	1.21405	1.21514	1.21149	1.21173	5526	0	0
2022.06.16	10:00:00	1.21173	1.21173	1.20582	1.20910	8776	0	0
2022.06.16	11:00:00	1.20909	1.21196	1.20803	1.21196	7308	0	0
2022.06.16	12:00:00	1.21021	1.21419	1.20999	1.21324	5680	0	0
2022.06.16	13:00:00	1.21325	1.21828	1.21257	1.21610	6814	0	0
2022.06.16	14:00:00	1.21612	1.21762	1.20410	1.21318	9560	0	0
2022.06.16	15:00:00	1.21323	1.22470	1.21302	1.22215	8066	0	0
2022.06.16	16:00:00	1.22215	1.22839	1.22212	1.22481	8068	0	0
2022.06.16	17:00:00	1.22478	1.22820	1.22239	1.22740	9829	0	0
2022.06.16	18:00:00	1.22740	1.23466	1.22692	1.23425	8613	0	0
2022.06.16	19:00:00	1.23428	1.24068	1.23185	1.23803	8723	0	0
2022.06.16	20:00:00	1.23804	1.23980	1.23613	1.23678	8317	0	0
2022.06.16	21:00:00	1.23682	1.23716	1.23490	1.23562	6746	0	0
2022.06.16	22:00:00	1.23561	1.23830	1.23447	1.23580	6629	0	0
2022.06.16	23:00:00	1.23582	1.23594	1.23448	1.23518	2510	0	0
2022.06.17	00:00:00	1.23544	1.23652	1.23480	1.23543	286	0	10
2022.06.17	01:00:00	1.23527	1.23602	1.23386	1.23415	3450	0	0
2022.06.17	02:00:00	1.23409	1.23606	1.23374	1.23498	2409	0	0
2022.06.17	03:00:00	1.23499	1.23529	1.23195	1.23246	5714	0	0
2022.06.17	04:00:00	1.23247	1.23314	1.23150	1.23197	5172	0	0
2022.06.17	05:00:00	1.23195	1.23229	1.23018	1.23098	5479	0	0
2022.06.17	06:00:00	1.23095	1.23135	1.22854	1.22883	5178	0	0
2022.06.17	07:00:00	1.22884	1.23094	1.22880	1.23060	3440	0	0
2022.06.17	08:00:00	1.23060	1.23128	1.22816	1.22818	4475	0	0
2022.06.17	09:00:00	1.22820	1.22914	1.22543	1.22617	6698	0	0
2022.06.17	10:00:00	1.22615	1.23179	1.22522	1.22994	7249	0	0
2022.06.17	11:00:00	1.22990	1.23431	1.22866	1.23156	6448	0	0
2022.06.17	12:00:00	1.23157	1.23353	1.22779	1.23027	6021	0	0
2022.06.17	13:00:00	1.23021	1.23278	1.22838	1.22984	5693	0	0
2022.06.17	14:00:00	1.22987	1.23163	1.22610	1.22631	5684	0	0
2022.06.17	15:00:00	1.22630	1.22872	1.22527	1.22671	6005	0	0
2022.06.17	16:00:00	1.22669	1.22682	1.22214	1.22278	7688	0	0
2022.06.17	17:00:00	1.22277	1.22296	1.21727	1.21835	8893	0	0
2022.06.17	18:00:00	1.21835	1.22195	1.21777	1.22003	7724	0	0
2022.06.17	19:00:00	1.22002	1.22053	1.21827	1.21887	5343	0	0
2022.06.17	20:00:00	1.21883	1.22239	1.21872	1.22170	5993	0	0
2022.06.17	21:00:00	1.22173	1.22307	1.22084	1.22084	4282	0	0
2022.06.17	22:00:00	1.22084	1.22243	1.22084	1.22134	2820	0	0
2022.06.17	23:00:00	1.22130	1.22329	1.22094	1.22155	1321	0	0
2022.06.20	00:00:00	1.22235	1.22284	1.22105	1.22209	490	0	12
2022.06.20	01:00:00	1.22244	1.22271	1.22070	1.22254	1622	0	0
2022.06.20	02:00:00	1.22252	1.22318	1.22120	1.22277	3222	0	0
2022.06.20	03:00:00	1.22277	1.22283	1.22140	1.22227	5397	0	0
2022.06.20	04:00:00	1.22226	1.22268	1.21989	1.22007	6316	0	0
2022.06.20	05:00:00	1.22008	1.22354	1.21997	1.22272	6014	0	0
2022.06.20	06:00:00	1.22271	1.22534	1.22248	1.22492	4916	0	0
2022.06.20	07:00:00	1.22492	1.22507	1.22350	1.22353	4224	0	0
2022.06.20	08:00:00	1.22354	1.22433	1.22272	1.22403	4518	0	0
