<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.13	03:00:00	1.29960	1.30001	1.29903	1.29914	2495	0	0
2023.07.13	04:00:00	1.29914	1.30031	1.29886	1.30026	2747	0	0
2023.07.13	05:00:00	1.30028	1.30150	1.29955	1.30137	2587	0	0
2023.07.13	06:00:00	1.30137	1.30188	1.30097	1.30117	2154	0	0
2023.07.13	07:00:00	1.30117	1.30178	1.30054	1.30061	2541	0	0
2023.07.13	08:00:00	1.30060	1.30090	1.29873	1.29894	2899	0	0
2023.07.13	09:00:00	1.29865	1.30176	1.29839	1.30096	4171	0	0
2023.07.13	10:00:00	1.30097	1.30300	1.30044	1.30266	4578	0	0
2023.07.13	11:00:00	1.30266	1.30614	1.30258	1.30425	3739	0	0
2023.07.13	12:00:00	1.30425	1.30790	1.30360	1.30706	3301	0	0
2023.07.13	13:00:00	1.30706	1.30706	1.30549	1.30667	2537	0	0
2023.07.13	14:00:00	1.30668	1.30744	1.30585	1.30625	2730	0	0
2023.07.13	15:00:00	1.30624	1.30833	1.30450	1.30832	5926	0	0
2023.07.13	16:00:00	1.30832	1.31113	1.30786	1.31090	5126	0	0
2023.07.13	17:00:00	1.31090	1.31142	1.30907	1.31140	4263	0	0
2023.07.13	18:00:00	1.31141	1.31142	1.30881	1.30955	3235	0	0
2023.07.13	19:00:00	1.30955	1.31161	1.30934	1.31136	2914	0	0
2023.07.13	20:00:00	1.31135	1.31233	1.31090	1.31210	2050	0	0
2023.07.13	21:00:00	1.31210	1.31323	1.31180	1.31313	2535	0	0
2023.07.13	22:00:00	1.31313	1.31410	1.31280	1.31329	2012	0	0
2023.07.13	23:00:00	1.31328	1.31361	1.31308	1.31352	828	0	0
2023.07.14	00:00:00	1.31336	1.31358	1.31217	1.31314	1451	0	1
2023.07.14	01:00:00	1.31307	1.31388	1.31261	1.31308	851	0	0
2023.07.14	02:00:00	1.31310	1.31342	1.31266	1.31280	1110	0	0
2023.07.14	03:00:00	1.31282	1.31311	1.31168	1.31202	2599	0	0
2023.07.14	04:00:00	1.31203	1.31327	1.31191	1.31306	2358	0	0
2023.07.14	05:00:00	1.31306	1.31345	1.31264	1.31310	2209	0	0
2023.07.14	06:00:00	1.31309	1.31421	1.31283	1.31381	2257	0	0
2023.07.14	07:00:00	1.31381	1.31381	1.31244	1.31310	2159	0	0
2023.07.14	08:00:00	1.31309	1.31325	1.31142	1.31186	2477	0	0
2023.07.14	09:00:00	1.31189	1.31234	1.30930	1.30985	3072	0	0
2023.07.14	10:00:00	1.30984	1.31157	1.30983	1.31156	3593	0	0
2023.07.14	11:00:00	1.31156	1.31255	1.31125	1.31206	2572	0	0
2023.07.14	12:00:00	1.31206	1.31421	1.31105	1.31130	2735	0	0
2023.07.14	13:00:00	1.31130	1.31206	1.31016	1.31094	3303	0	0
2023.07.14	14:00:00	1.31096	1.31274	1.31081	1.31132	2580	0	0
2023.07.14	15:00:00	1.31134	1.31180	1.31004	1.31132	4439	0	0
2023.07.14	16:00:00	1.31130	1.31303	1.30992	1.31249	4616	0	0
2023.07.14	17:00:00	1.31252	1.31252	1.30936	1.31177	7114	0	0
2023.07.14	18:00:00	1.31181	1.31230	1.31074	1.31108	3701	0	0
2023.07.14	19:00:00	1.31109	1.31171	1.31035	1.31128	2702	0	0
2023.07.14	20:00:00	1.31136	1.31147	1.30994	1.31044	2102	0	0
2023.07.14	21:00:00	1.31043	1.31098	1.31022	1.31032	2298	0	0
2023.07.14	22:00:00	1.31032	1.31035	1.30925	1.30933	2123	0	0
2023.07.14	23:00:00	1.30935	1.30935	1.30896	1.30923	1291	0	0
2023.07.17	00:00:00	1.30920	1.30950	1.30786	1.30868	279	0	86
2023.07.17	01:00:00	1.30888	1.30980	1.30861	1.30921	994	0	0
2023.07.17	02:00:00	1.30921	1.30926	1.30865	1.30894	1635	0	0
2023.07.17	03:00:00	1.30894	1.30943	1.30839	1.30930	1738	0	0
2023.07.17	04:00:00	1.30931	1.30966	1.30829	1.30849	2468	0	0
2023.07.17	05:00:00	1.30835	1.30943	1.30816	1.30916	1830	0	0
2023.07.17	06:00:00	1.30915	1.30934	1.30869	1.30877	2222	0	0
2023.07.17	07:00:00	1.30877	1.30890	1.30831	1.30880	1728	0	0
2023.07.17	08:00:00	1.30880	1.30947	1.30844	1.30926	1931	0	0
2023.07.17	09:00:00	1.30926	1.30945	1.30649	1.30809	2954	0	0
2023.07.17	10:00:00	1.30817	1.31077	1.30800	1.31026	3631	0	0
2023.07.17	11:00:00	1.31029	1.31092	1.30874	1.30937	3453	0	0
2023.07.17	12:00:00	1.30937	1.31069	1.30812	1.30938	3375	0	0
2023.07.17	13:00:00	1.30939	1.31008	1.30762	1.30784	2347	0	0
2023.07.17	14:00:00	1.30785	1.30855	1.30711	1.30848	2535	0	0
2023.07.17	15:00:00	1.30848	1.30858	1.30536	1.30676	4692	0	0
2023.07.17	16:00:00	1.30677	1.30746	1.30509	1.30737	4582	0	0
2023.07.17	17:00:00	1.30745	1.30926	1.30727	1.30815	3730	0	0
2023.07.17	18:00:00	1.30820	1.30836	1.30738	1.30756	2474	0	0
2023.07.17	19:00:00	1.30758	1.30812	1.30735	1.30752	1772	0	0
2023.07.17	20:00:00	1.30752	1.30873	1.30729	1.30814	1812	0	0
2023.07.17	21:00:00	1.30814	1.30843	1.30766	1.30825	1359	0	0
2023.07.17	22:00:00	1.30825	1.30852	1.30768	1.30790	1360	0	0
2023.07.17	23:00:00	1.30787	1.30789	1.30705	1.30732	1221	0	0
